Store,SKU,Week,Sales Units
ST035,SK01733,W48,86
ST035,SK01733,W51,116
ST035,SK01896,W02,84
ST035,SK01896,W10,10
ST035,SK01896,W12,111
ST035,SK01896,W15,94
ST035,SK01896,W21,59
ST035,SK01896,W23,131
ST035,SK01896,W24,96
ST035,SK01896,W25,200
ST035,SK01896,W29,74
ST035,SK01896,W35,175
ST035,SK01896,W40,192
ST035,SK01896,W47,59
ST035,SK01927,W01,23
ST035,SK01927,W04,30
ST035,SK01927,W05,27
ST035,SK01927,W06,78
ST035,SK01927,W12,143
ST035,SK01927,W17,131
ST035,SK01927,W19,85
ST035,SK01927,W27,62
ST035,SK01927,W31,171
ST035,SK01927,W32,80
ST035,SK01927,W33,85
ST035,SK01927,W39,41
ST035,SK01927,W49,11
ST035,SK01950,W17,110
ST035,SK01950,W24,44
ST035,SK01950,W29,111
ST035,SK01950,W30,27
ST035,SK01950,W33,91
ST035,SK02029,W12,78
ST035,SK02029,W26,37
ST035,SK02029,W40,158
ST035,SK02029,W43,93
ST035,SK02029,W44,38
ST035,SK02029,W45,22
ST035,SK02029,W46,118
ST035,SK02429,W01,77
ST035,SK02429,W11,9
ST035,SK02429,W13,164
ST035,SK02429,W33,0
ST035,SK02429,W45,86
ST035,SK02448,W10,101
ST035,SK02448,W11,154
ST035,SK02448,W12,114
ST035,SK02448,W15,185
ST035,SK02448,W18,18
ST035,SK02448,W24,33
ST035,SK02448,W27,135
ST035,SK02448,W38,94
ST035,SK02562,W08,157
ST035,SK02562,W09,53
ST035,SK02562,W10,195
ST035,SK02562,W13,39
ST035,SK02562,W20,52
ST035,SK02562,W36,99
ST035,SK02562,W44,15
ST035,SK02562,W45,45
ST035,SK02562,W46,71
ST035,SK02562,W48,36
ST035,SK02562,W49,55
ST035,SK02642,W11,126
ST035,SK02642,W12,14
ST035,SK02642,W15,2
ST035,SK02642,W17,32
ST035,SK02642,W18,6
ST035,SK02642,W24,168
ST035,SK02642,W30,153
ST035,SK02642,W42,172
ST035,SK02768,W12,175
ST035,SK02768,W16,129
ST035,SK02768,W17,26
ST035,SK02768,W24,4
ST035,SK02768,W25,196
ST035,SK02768,W28,83
ST035,SK02768,W34,144
ST035,SK02768,W36,19
ST035,SK02768,W38,190
ST035,SK02768,W39,81
ST035,SK02768,W45,110
ST035,SK02768,W49,111
ST035,SK02805,W02,113
ST035,SK02805,W05,191
ST035,SK02805,W06,77
ST035,SK02805,W10,60
ST035,SK02805,W11,129
ST035,SK02805,W21,56
ST035,SK02805,W25,55
ST035,SK02805,W26,123
ST035,SK02805,W27,138
ST035,SK02805,W48,124
ST035,SK02805,W49,55
ST035,SK02904,W20,162
ST035,SK02904,W23,96
ST035,SK02904,W24,98
ST035,SK02904,W26,55
ST035,SK02904,W27,29
ST035,SK02904,W36,127
ST035,SK02904,W40,94
ST035,SK02904,W41,76
ST035,SK02904,W42,113
ST035,SK02904,W44,147
ST035,SK03182,W01,126
ST035,SK03182,W16,13
ST035,SK03182,W20,48
ST035,SK03182,W22,181
ST035,SK03182,W25,95
ST035,SK03182,W31,55
ST035,SK03182,W32,164
ST035,SK03182,W34,104
ST035,SK03182,W40,90
ST035,SK03289,W02,19
ST035,SK03289,W08,41
ST035,SK03289,W09,107
ST035,SK03289,W17,104
ST035,SK03289,W22,102
ST035,SK03289,W27,108
ST035,SK03289,W28,150
ST035,SK03289,W30,121
ST035,SK03289,W37,119
ST035,SK03289,W47,0
ST035,SK03289,W51,50
ST035,SK03348,W14,126
ST035,SK03348,W24,8
ST035,SK03348,W27,174
ST035,SK03348,W35,6
ST035,SK03348,W50,62
ST035,SK03348,W51,38
ST035,SK03348,W52,103
ST035,SK03569,W01,26
ST035,SK03569,W21,172
ST035,SK03569,W23,139
ST035,SK03569,W32,19
ST035,SK03569,W36,178
ST035,SK03569,W37,18
ST035,SK03569,W42,32
ST035,SK03569,W46,155
ST035,SK03569,W47,8
ST035,SK03569,W48,99
ST035,SK03572,W07,67
ST035,SK03572,W08,154
ST035,SK03572,W17,136
ST035,SK03572,W20,7
ST035,SK03572,W27,165
ST035,SK03572,W29,84
ST035,SK03572,W34,20
ST035,SK03572,W40,29
ST035,SK03572,W45,121
ST035,SK03572,W46,89
ST035,SK03572,W47,189
ST035,SK03636,W07,127
ST035,SK03636,W20,65
ST035,SK03636,W25,27
ST035,SK03636,W27,128
ST035,SK03636,W30,98
ST035,SK03636,W34,153
ST035,SK03636,W35,154
ST035,SK03636,W45,62
ST035,SK03636,W48,135
ST035,SK03636,W52,100
ST035,SK03725,W02,40
ST035,SK03725,W30,87
ST035,SK03725,W32,73
ST035,SK03725,W34,130
ST035,SK03725,W36,191
ST035,SK03725,W38,194
ST035,SK03980,W15,138
ST035,SK03980,W16,91
ST035,SK03980,W22,32
ST035,SK03980,W24,127
ST035,SK03980,W33,199
ST035,SK03980,W37,74
ST035,SK03980,W38,67
ST035,SK03980,W45,90
ST035,SK03980,W50,20
ST035,SK04282,W04,47
ST035,SK04282,W22,3
ST035,SK04282,W24,142
ST035,SK04282,W25,56
ST035,SK04282,W26,51
ST035,SK04282,W35,132
ST035,SK04282,W38,108
ST035,SK04282,W39,105
ST035,SK04282,W44,16
ST035,SK04325,W01,73
ST035,SK04325,W09,110
ST035,SK04325,W22,192
ST035,SK04325,W29,38
ST035,SK04325,W51,181
ST035,SK04707,W03,27
ST035,SK04707,W06,191
ST035,SK04707,W12,158
ST035,SK04707,W18,195
ST035,SK04707,W23,78
ST035,SK04707,W38,176
ST035,SK04707,W42,82
ST035,SK04707,W48,109
ST035,SK04815,W01,192
ST035,SK04815,W04,107
ST035,SK04815,W11,177
ST035,SK04815,W12,83
ST035,SK04815,W14,146
ST035,SK04815,W16,21
ST035,SK04815,W20,132
ST035,SK04815,W23,153
ST035,SK04815,W24,101
ST035,SK04815,W26,121
ST035,SK04815,W31,121
ST035,SK04815,W33,154
ST035,SK04815,W37,51
ST035,SK05097,W01,182
ST035,SK05097,W03,143
ST035,SK05097,W05,187
ST035,SK05097,W08,175
ST035,SK05097,W10,178
ST035,SK05097,W11,114
ST035,SK05097,W19,41
ST035,SK05097,W25,123
ST035,SK05097,W30,17
ST035,SK05097,W33,145
ST035,SK05097,W45,199
ST035,SK05097,W46,34
ST035,SK05194,W01,188
ST035,SK05194,W04,138
ST035,SK05194,W06,23
ST035,SK05194,W13,28
ST035,SK05194,W16,40
ST035,SK05194,W20,53
ST035,SK05194,W27,166
ST035,SK05194,W31,151
ST035,SK05194,W37,44
ST035,SK05194,W43,99
ST035,SK05194,W48,96
ST035,SK05194,W50,63
ST035,SK05478,W02,7
ST035,SK05478,W03,151
ST035,SK05478,W04,189
ST035,SK05478,W05,108
ST035,SK05478,W07,163
ST035,SK05478,W23,3
ST035,SK05478,W25,175
ST035,SK05478,W34,162
ST035,SK05478,W41,87
ST035,SK05478,W46,73
ST035,SK05715,W03,142
ST035,SK05715,W05,21
ST035,SK05715,W21,137
ST035,SK05715,W29,186
ST035,SK05715,W30,169
ST035,SK05715,W32,6
ST035,SK05715,W35,41
ST035,SK05715,W39,59
ST035,SK05715,W45,41
ST035,SK05715,W46,185
ST035,SK05928,W01,29
ST035,SK05928,W02,71
ST035,SK05928,W13,37
ST035,SK05928,W17,41
ST035,SK05928,W23,15
ST035,SK05928,W25,9
ST035,SK05928,W28,184
ST035,SK05928,W31,152
ST035,SK05928,W34,107
ST035,SK05928,W43,68
ST035,SK05928,W50,133
ST035,SK06290,W01,77
ST035,SK06290,W03,186
ST035,SK06290,W06,133
ST035,SK06290,W15,78
ST035,SK06290,W24,21
ST035,SK06290,W29,69
ST035,SK06290,W33,118
ST035,SK06290,W38,168
ST035,SK06290,W45,112
ST035,SK06290,W46,16
ST035,SK06290,W52,53
ST035,SK06375,W03,30
ST035,SK06375,W12,42
ST035,SK06375,W16,82
ST035,SK06375,W17,137
ST035,SK06375,W19,182
ST035,SK06375,W27,109
ST035,SK06375,W35,17
ST035,SK06375,W36,132
ST035,SK06375,W42,51
ST035,SK06375,W45,182
ST035,SK06375,W48,31
ST035,SK06559,W04,177
ST035,SK06559,W14,148
ST035,SK06559,W15,69
ST035,SK06559,W20,34
ST035,SK06559,W28,21
ST035,SK06559,W31,169
ST035,SK06559,W50,51
ST035,SK06601,W01,72
ST035,SK06601,W02,30
ST035,SK06601,W03,65
ST035,SK06601,W09,165
ST035,SK06601,W19,40
ST035,SK06601,W21,170
ST035,SK06601,W26,150
ST035,SK06601,W28,195
ST035,SK06601,W33,111
ST035,SK06601,W34,156
ST035,SK06601,W36,158
ST035,SK06601,W39,0
ST035,SK06601,W42,165
ST035,SK06601,W43,72
ST035,SK06601,W45,43
ST035,SK06651,W20,87
ST035,SK06651,W25,167
ST035,SK06651,W26,10
ST035,SK06651,W30,18
ST035,SK06651,W31,27
ST035,SK06651,W37,34
ST035,SK06651,W43,84
ST035,SK06651,W46,108
ST035,SK06651,W49,142
ST035,SK06691,W09,138
ST035,SK06691,W10,45
ST035,SK06691,W11,92
ST035,SK06691,W23,1
ST035,SK06691,W32,136
ST035,SK06691,W34,57
ST035,SK06691,W39,35
ST035,SK06691,W45,129
ST035,SK06691,W46,147
ST035,SK06691,W50,84
ST035,SK06996,W04,194
ST035,SK06996,W05,11
ST035,SK06996,W12,105
ST035,SK06996,W18,172
ST035,SK06996,W26,20
ST035,SK06996,W31,101
ST035,SK06996,W35,43
ST035,SK06996,W39,184
ST035,SK06996,W47,141
ST035,SK06996,W50,181
ST035,SK07054,W04,70
ST035,SK07054,W08,13
ST035,SK07054,W21,41
ST035,SK07054,W26,118
ST035,SK07054,W29,141
ST035,SK07054,W35,166
ST035,SK07054,W50,148
ST035,SK07054,W51,96
ST035,SK07068,W09,117
ST035,SK07068,W18,142
ST035,SK07068,W29,84
ST035,SK07068,W38,144
ST035,SK07068,W40,112
ST035,SK07068,W41,142
ST035,SK07068,W46,124
ST035,SK07068,W48,105
ST035,SK07322,W13,10
ST035,SK07322,W21,187
ST035,SK07322,W29,152
ST035,SK07322,W37,136
ST035,SK07322,W41,79
ST035,SK07322,W49,2
ST035,SK07369,W03,70
ST035,SK07369,W05,59
ST035,SK07369,W06,17
ST035,SK07369,W07,124
ST035,SK07369,W15,69
ST035,SK07369,W17,13
ST035,SK07369,W18,36
ST035,SK07369,W19,16
ST035,SK07369,W20,114
ST035,SK07369,W21,101
ST035,SK07369,W26,116
ST035,SK07369,W36,67
ST035,SK07369,W42,78
ST035,SK07447,W02,72
ST035,SK07447,W05,58
ST035,SK07447,W07,96
ST035,SK07447,W13,40
ST035,SK07447,W22,194
ST035,SK07447,W31,65
ST035,SK07447,W34,12
ST035,SK07447,W36,100
ST035,SK07447,W43,45
ST035,SK07447,W46,41
ST035,SK07484,W02,188
ST035,SK07484,W03,126
ST035,SK07484,W09,101
ST035,SK07484,W21,51
ST035,SK07484,W25,6
ST035,SK07484,W26,117
ST035,SK07484,W33,68
ST035,SK07484,W44,93
ST035,SK07484,W51,195
ST035,SK07595,W06,104
ST035,SK07595,W07,58
ST035,SK07595,W12,168
ST035,SK07595,W21,160
ST035,SK07595,W24,148
ST035,SK07595,W26,106
ST035,SK07595,W32,20
ST035,SK07595,W41,2
ST035,SK07595,W43,38
ST035,SK07595,W45,117
ST035,SK07595,W51,20
ST035,SK07767,W02,127
ST035,SK07767,W04,41
ST035,SK07767,W06,151
ST035,SK07767,W08,189
ST035,SK07767,W10,54
ST035,SK07767,W13,146
ST035,SK07767,W19,72
ST035,SK07767,W20,173
ST035,SK07767,W26,58
ST035,SK07767,W35,12
ST035,SK07767,W38,122
ST035,SK07767,W39,42
ST035,SK07767,W44,190
ST035,SK07767,W45,18
ST035,SK07782,W13,133
ST035,SK07782,W40,75
ST035,SK07782,W52,125
ST035,SK07944,W03,10
ST035,SK07944,W09,185
ST035,SK07944,W19,131
ST035,SK07944,W21,151
ST035,SK07944,W26,191
ST035,SK07944,W30,124
ST035,SK07944,W39,114
ST035,SK07944,W40,185
ST035,SK07944,W42,18
ST035,SK07944,W47,49
ST035,SK08191,W11,88
ST035,SK08191,W20,46
ST035,SK08191,W22,184
ST035,SK08191,W23,118
ST035,SK08191,W28,76
ST035,SK08191,W32,54
ST035,SK08191,W36,7
ST035,SK08191,W38,114
ST035,SK08191,W51,38
ST035,SK08285,W06,137
ST035,SK08285,W11,74
ST035,SK08285,W28,136
ST035,SK08285,W34,154
ST035,SK08285,W43,15
ST035,SK08285,W48,6
ST035,SK08285,W52,46
ST035,SK08314,W06,51
ST035,SK08314,W15,27
ST035,SK08314,W19,112
ST035,SK08314,W22,112
ST035,SK08314,W25,169
ST035,SK08314,W30,173
ST035,SK08314,W32,15
ST035,SK08314,W33,129
ST035,SK08314,W43,149
ST035,SK08373,W12,88
ST035,SK08373,W17,196
ST035,SK08373,W25,8
ST035,SK08373,W28,194
ST035,SK08373,W31,57
ST035,SK08373,W35,94
ST035,SK08373,W37,75
ST035,SK08373,W47,109
ST035,SK08373,W48,94
ST035,SK08373,W52,134
ST035,SK08443,W08,139
ST035,SK08443,W10,56
ST035,SK08443,W24,109
ST035,SK08443,W31,193
ST035,SK08443,W32,127
ST035,SK08443,W37,134
ST035,SK08443,W46,60
ST035,SK08544,W12,93
ST035,SK08544,W13,32
ST035,SK08544,W14,161
ST035,SK08544,W17,81
ST035,SK08544,W24,132
ST035,SK08544,W32,29
ST035,SK08544,W33,199
ST035,SK08544,W35,190
ST035,SK08544,W43,60
ST035,SK08544,W44,127
ST035,SK08544,W45,191
ST035,SK08544,W52,146
ST035,SK08557,W06,110
ST035,SK08557,W19,56
ST035,SK08557,W30,193
ST035,SK08557,W32,81
ST035,SK08557,W33,149
ST035,SK08557,W40,40
ST035,SK08557,W42,19
ST035,SK08557,W44,192
ST035,SK08557,W47,114
ST035,SK08557,W49,113
ST035,SK08783,W11,59
ST035,SK08783,W15,177
ST035,SK08783,W16,22
ST035,SK08783,W26,41
ST035,SK08783,W27,74
ST035,SK08783,W28,76
ST035,SK08783,W29,44
ST035,SK08783,W34,28
ST035,SK08783,W43,127
ST035,SK08783,W48,57
ST035,SK09245,W03,151
ST035,SK09245,W05,87
ST035,SK09245,W08,59
ST035,SK09245,W16,155
ST035,SK09245,W39,3
ST035,SK09245,W40,18
ST035,SK09245,W41,44
ST035,SK09245,W42,133
ST035,SK09245,W45,62
ST035,SK09245,W52,57
ST035,SK09312,W07,13
ST035,SK09312,W09,11
ST035,SK09312,W10,17
ST035,SK09312,W15,175
ST035,SK09312,W17,179
ST035,SK09312,W21,144
ST035,SK09312,W23,70
ST035,SK09312,W28,90
ST035,SK09312,W29,46
ST035,SK09312,W36,174
ST035,SK09312,W40,101
ST035,SK09312,W50,45
ST035,SK09318,W08,200
ST035,SK09318,W09,162
ST035,SK09318,W10,3
ST035,SK09318,W13,122
ST035,SK09318,W18,197
ST035,SK09318,W20,3
ST035,SK09318,W25,58
ST035,SK09318,W32,11
ST035,SK09318,W33,107
ST035,SK09318,W38,191
ST035,SK09318,W47,19
ST035,SK09318,W51,81
ST035,SK09318,W52,127
ST035,SK09414,W04,74
ST035,SK09414,W07,161
ST035,SK09414,W14,184
ST035,SK09414,W15,126
ST035,SK09414,W17,168
ST035,SK09414,W19,172
ST035,SK09414,W28,194
ST035,SK09414,W30,68
ST035,SK09414,W32,34
ST035,SK09414,W33,39
ST035,SK09414,W36,197
ST035,SK09414,W38,189
ST035,SK09414,W46,32
ST035,SK09453,W02,72
ST035,SK09453,W03,169
ST035,SK09453,W07,98
ST035,SK09453,W11,168
ST035,SK09453,W15,91
ST035,SK09453,W30,106
ST035,SK09453,W32,7
ST035,SK09453,W36,125
ST035,SK09453,W38,126
ST035,SK09453,W39,107
ST035,SK09453,W43,94
ST035,SK09453,W45,93
ST035,SK09453,W46,89
ST035,SK09469,W22,127
ST035,SK09469,W30,23
ST035,SK09469,W33,1
ST035,SK09469,W38,17
ST035,SK09469,W39,153
ST035,SK09469,W44,95
ST035,SK09469,W46,100
ST035,SK09469,W49,185
ST035,SK09592,W09,24
ST035,SK09592,W11,147
ST035,SK09592,W19,132
ST035,SK09592,W25,100
ST035,SK09592,W27,60
ST035,SK09592,W30,62
ST035,SK09592,W38,102
ST035,SK09592,W40,23
ST035,SK09659,W02,132
ST035,SK09659,W15,50
ST035,SK09659,W16,175
ST035,SK09659,W25,164
ST035,SK09659,W26,11
ST035,SK09659,W42,32
ST035,SK09659,W44,60
ST035,SK09659,W45,11
ST035,SK09659,W48,62
ST035,SK09728,W02,13
ST035,SK09728,W07,59
ST035,SK09728,W23,173
ST035,SK09728,W24,98
ST035,SK09728,W26,114
ST035,SK09728,W29,157
ST035,SK09728,W32,40
ST035,SK09728,W38,67
ST035,SK09728,W40,188
ST035,SK09816,W11,10
ST035,SK09816,W13,37
ST035,SK09816,W14,26
ST035,SK09816,W18,181
ST035,SK09816,W29,34
ST035,SK09816,W32,162
ST035,SK09816,W43,177
ST035,SK10226,W04,198
ST035,SK10226,W08,49
ST035,SK10226,W10,129
ST035,SK10226,W17,98
ST035,SK10226,W24,129
ST035,SK10226,W33,160
ST035,SK10226,W36,133
ST035,SK10226,W41,109
ST035,SK10226,W45,150
ST035,SK10286,W01,144
ST035,SK10286,W05,121
ST035,SK10286,W09,148
ST035,SK10286,W10,114
ST035,SK10286,W12,19
ST035,SK10286,W14,95
ST035,SK10286,W18,152
ST035,SK10286,W25,197
ST035,SK10286,W29,35
ST035,SK10286,W38,34
ST035,SK10286,W42,153
ST035,SK10286,W49,58
ST035,SK10286,W51,177
ST035,SK10304,W06,183
ST035,SK10304,W12,56
ST035,SK10304,W16,45
ST035,SK10304,W27,128
ST035,SK10304,W33,62
ST035,SK10304,W34,102
ST035,SK10304,W41,35
ST035,SK10304,W45,114
ST035,SK10304,W52,26
ST035,SK10514,W15,31
ST035,SK10514,W20,58
ST035,SK10514,W24,72
ST035,SK10514,W36,101
ST035,SK10514,W51,184
ST035,SK10565,W02,64
ST035,SK10565,W04,159
ST035,SK10565,W19,82
ST035,SK10565,W22,87
ST035,SK10565,W33,147
ST035,SK10565,W40,66
ST035,SK10565,W41,141
ST035,SK10565,W46,17
ST035,SK10717,W05,190
ST035,SK10717,W09,126
ST035,SK10717,W11,147
ST035,SK10717,W13,44
ST035,SK10717,W15,177
ST035,SK10717,W21,80
ST035,SK10717,W25,82
ST035,SK10717,W33,184
ST035,SK10717,W42,21
ST035,SK10760,W13,107
ST035,SK10760,W18,48
ST035,SK10760,W27,175
ST035,SK10760,W36,163
ST035,SK10760,W49,79
ST035,SK11103,W20,128
ST035,SK11103,W26,38
ST035,SK11103,W28,200
ST035,SK11103,W29,129
ST035,SK11103,W33,179
ST035,SK11103,W48,84
ST035,SK11147,W16,74
ST035,SK11147,W21,71
ST035,SK11147,W22,177
ST035,SK11147,W28,37
ST035,SK11147,W31,165
ST035,SK11147,W36,39
ST035,SK11147,W38,131
ST035,SK11147,W43,25
ST035,SK11147,W45,96
ST035,SK11147,W50,125
ST035,SK11260,W06,66
ST035,SK11260,W09,85
ST035,SK11260,W10,91
ST035,SK11260,W12,105
ST035,SK11260,W17,196
ST035,SK11260,W22,95
ST035,SK11260,W29,91
ST035,SK11260,W43,108
ST035,SK11260,W44,34
ST035,SK11260,W45,39
ST035,SK11260,W49,195
ST035,SK11260,W51,38
ST035,SK11808,W03,36
ST035,SK11808,W06,2
ST035,SK11808,W08,12
ST035,SK11808,W10,68
ST035,SK11808,W11,44
ST035,SK11808,W12,83
ST035,SK11808,W16,103
ST035,SK11808,W18,46
ST035,SK11808,W21,191
ST035,SK11808,W32,61
ST035,SK11808,W33,83
ST035,SK11808,W37,194
ST035,SK11808,W43,170
ST035,SK11808,W45,175
ST035,SK11808,W49,168
ST035,SK11808,W50,57
ST035,SK11860,W02,34
ST035,SK11860,W05,79
ST035,SK11860,W08,183
ST035,SK11860,W09,189
ST035,SK11860,W10,8
ST035,SK11860,W12,84
ST035,SK11860,W18,43
ST035,SK11860,W24,197
ST035,SK11860,W30,8
ST035,SK11860,W36,172
ST035,SK11860,W43,190
ST035,SK11860,W52,124
ST035,SK12148,W01,85
ST035,SK12148,W07,40
ST035,SK12148,W08,113
ST035,SK12148,W12,53
ST035,SK12148,W14,126
ST035,SK12148,W15,108
ST035,SK12148,W21,2
ST035,SK12148,W23,187
ST035,SK12148,W26,44
ST035,SK12148,W29,4
ST035,SK12148,W30,11
ST035,SK12148,W34,181
ST035,SK12148,W38,11
ST035,SK12148,W41,74
ST035,SK12148,W45,160
ST035,SK12148,W48,44
ST035,SK12148,W49,115
ST035,SK12148,W52,14
ST035,SK12418,W10,170
ST035,SK12418,W12,97
ST035,SK12418,W14,197
ST035,SK12418,W21,3
ST035,SK12418,W25,73
ST035,SK12418,W29,52
ST035,SK12418,W33,96
ST035,SK12418,W35,193
ST035,SK12418,W36,0
ST035,SK12418,W38,20
ST035,SK12418,W39,99
ST035,SK12418,W44,47
ST035,SK12418,W47,119
ST035,SK12418,W49,167
ST035,SK12460,W07,189
ST035,SK12460,W13,140
ST035,SK12460,W16,1
ST035,SK12460,W26,138
ST035,SK12460,W31,33
ST035,SK12460,W32,137
ST035,SK12460,W38,91
ST035,SK12460,W41,18
ST035,SK12460,W45,80
ST035,SK12460,W46,131
ST035,SK12478,W01,35
ST035,SK12478,W02,167
ST035,SK12478,W04,194
ST035,SK12478,W12,3
ST035,SK12478,W20,172
ST035,SK12478,W25,102
ST035,SK12478,W31,85
ST035,SK12478,W44,20
ST035,SK12670,W12,151
ST035,SK12670,W13,186
ST035,SK12670,W16,114
ST035,SK12670,W20,4
ST035,SK12670,W25,17
ST035,SK12670,W28,46
ST035,SK12670,W33,89
ST035,SK12670,W46,122
ST035,SK12670,W51,75
ST035,SK12670,W52,42
ST035,SK12760,W01,133
ST035,SK12760,W02,27
ST035,SK12760,W09,167
ST035,SK12760,W10,183
ST035,SK12760,W12,123
ST035,SK12760,W14,19
ST035,SK12760,W18,196
ST035,SK12760,W26,197
ST035,SK12760,W35,113
ST035,SK12760,W37,193
ST035,SK12760,W40,14
ST035,SK12760,W50,184
ST035,SK12773,W06,14
ST035,SK12773,W07,120
ST035,SK12773,W11,22
ST035,SK12773,W15,159
ST035,SK12773,W16,192
ST035,SK12773,W22,56
ST035,SK12773,W25,69
ST035,SK12773,W29,112
ST035,SK12773,W30,23
ST035,SK12773,W33,139
ST035,SK12773,W46,73
ST035,SK12773,W47,24
ST035,SK12773,W51,76
ST035,SK12773,W52,191
ST035,SK12919,W01,169
ST035,SK12919,W11,132
ST035,SK12919,W28,82
ST035,SK12919,W44,171
ST035,SK12919,W46,82
ST035,SK12919,W47,101
ST035,SK13050,W21,32
ST035,SK13050,W25,156
ST035,SK13050,W26,34
ST035,SK13050,W39,56
ST035,SK13050,W41,135
ST035,SK13050,W46,150
ST035,SK13226,W07,176
ST035,SK13226,W16,193
ST035,SK13226,W26,49
ST035,SK13226,W32,55
ST035,SK13226,W45,42
ST035,SK13226,W50,156
ST035,SK13248,W01,71
ST035,SK13248,W06,78
ST035,SK13248,W11,63
ST035,SK13248,W16,169
